Title,Genre,ReleaseYear,Rating,Votes,RevenueMillions,MovieScore
Movie 0,Comedy,1993,3.9,6118,88.98,42.90270045750391
Movie 1,Action,2014,5.6,87598,35.11,67.24193922347158
Movie 2,Comedy,1987,7.1,65711,199.69,98.72956153699403
Movie 3,Comedy,2011,6.6,3914,91.1,63.70896601560436
Movie 4,Comedy,1993,6.8,21246,184.59,86.21400271782635
Movie 5,Action,2001,7.1,70646,65.18,85.79270156299924
Movie 6,Action,1995,4.4,28118,236.42,68.71648344702422
Movie 7,Horror,2007,8.5,60931,134.95,107.14386702168103
Movie 8,Comedy,2007,6.3,2905,39.28,54.16755691802043
Movie 9,Drama,2008,6.2,37834,238.0,89.15413725059746
Movie 10,Action,1990,6.8,951,84.06,55.044242236581276
Movie 11,Action,1983,4.9,4793,232.07,64.73509003347222
Movie 12,Action,1995,6.8,85988,256.74,102.93542768853112
Movie 13,Drama,2011,7.4,73415,58.65,88.77383909129148
Movie 14,Action,1984,3.7,70594,94.71,50.78044401794142
Movie 15,Action,1984,5.1,22284,214.91,72.55051233544134
Movie 16,Action,2001,6.5,40289,46.82,73.60708075820506
Movie 17,Drama,2001,8.7,40887,237.99,116.18074953389859
Movie 18,Drama,1989,3.7,36141,271.25,65.957280340945
Movie 19,Drama,1988,7.0,67897,267.27,104.60733300622383
Movie 20,Action,2022,7.3,62329,263.86,106.97944634756115
Movie 21,Comedy,2021,4.7,4845,73.21,47.20477183646941
Movie 22,Action,2010,4.1,60225,132.53,58.377023670156085
Movie 23,Comedy,1995,7.0,19066,186.98,87.68800059745112
Movie 24,Horror,2008,5.0,85710,147.47,71.54068225537448
Movie 25,Comedy,1984,7.3,30501,97.24,85.10049699977775
Movie 26,Action,2015,7.7,44249,15.02,83.87360200835778
Movie 27,Drama,1986,6.0,61567,65.41,72.70838520415226
Movie 28,Horror,2017,4.8,41397,243.62,75.39074167744513
Movie 29,Action,1995,5.3,64053,166.94,75.35165330989985
Movie 30,Drama,1993,5.6,71656,153.28,77.93401830348954
Movie 31,Comedy,2000,6.3,50737,71.62,75.41891161917836
Movie 32,Action,2011,5.0,80734,235.81,80.0756373265786
Movie 33,Comedy,2021,5.6,8652,94.6,60.22770361939774
Movie 34,Comedy,2015,3.9,433,70.69,30.75387368299158
Movie 36,Horror,1982,3.6,35004,2.61,37.92868627468068
Movie 37,Drama,1993,4.8,89375,243.23,79.04591584997553
Movie 38,Horror,2014,6.0,76090,165.06,83.94411162849394
Movie 39,Comedy,2000,5.9,83671,127.69,79.64349206736122
Movie 40,Horror,1986,9.4,25219,62.4,101.51269052947777
Movie 41,Comedy,1993,5.3,90373,253.78,85.86007304028254
Movie 42,Action,2010,6.8,9786,83.53,70.83690972329556
Movie 43,Comedy,2020,6.2,78499,134.79,83.3582942033771
Movie 44,Comedy,1998,4.7,43285,22.53,52.42824731955003
Movie 45,Drama,2012,9.3,70965,77.59,111.63959236321477
Movie 46,Action,1990,6.6,95050,274.64,103.11431453302248
Movie 47,Horror,2001,7.6,4490,261.33,90.0477131154668
Movie 48,Horror,1982,8.4,95796,272.54,123.60188784511972
Movie 49,Action,2010,3.9,89329,100.83,54.543361361113945
Movie 50,Drama,1995,5.7,21689,254.37,82.34925764177925
Movie 51,Horror,2020,7.4,57247,201.79,101.2470950986825
Movie 52,Drama,1997,5.3,65984,144.94,73.30906842898992
Movie 53,Comedy,1983,6.2,18432,174.05,78.30076645607627
Movie 54,Comedy,1999,8.7,61862,48.34,100.81829461251486
Movie 55,Comedy,2000,4.5,71873,223.23,72.64501439231725
Movie 56,Drama,2022,6.6,52440,12.05,72.93013044691597
Movie 57,Comedy,1995,5.7,85130,62.75,70.98109519563154
Movie 58,Action,2007,7.3,14775,95.26,79.61154450971725
Movie 59,Action,2013,6.5,82981,119.24,85.54546347263309
Movie 60,Comedy,1984,5.8,36904,167.6,77.75339346878408
Movie 61,Comedy,2009,5.8,60942,292.56,93.15862682445005
Movie 62,Drama,2005,3.4,99515,295.85,68.7124506284133
Movie 63,Comedy,1983,5.8,28924,104.38,70.01827700195888
Movie 64,Drama,2017,9.0,26436,57.71,97.41367840772216
Movie 65,Action,1999,6.1,12456,192.9,76.81323175660515
Movie 66,Action,1998,6.0,96042,218.98,90.73330772099149
Movie 67,Action,2009,7.3,79080,246.55,106.9860638351768
Movie 68,Action,2004,5.7,43838,83.51,69.27419093351375
Movie 69,Horror,1995,9.6,46965,138.33,117.1019204606761
Movie 70,Horror,2011,6.1,67325,278.6,95.6755408024468
Movie 71,Comedy,2017,7.1,39473,57.89,80.93112229482978
Movie 72,Action,1981,5.1,36507,123.59,65.9359621375475
Movie 73,Action,2006,7.7,75413,186.75,105.15176124127727
Movie 74,Horror,1999,5.0,63307,102.2,65.49883491226586
Movie 75,Horror,2012,6.8,41748,285.76,100.92412928969509
Movie 76,Action,2015,5.4,42573,73.19,64.87759469338017
Movie 77,Action,1989,7.0,37510,153.43,89.06972651594617
Movie 78,Action,2022,4.0,68080,9.53,45.4668138069641
Movie 79,Action,2012,6.4,86624,104.87,83.25079991355011
Movie 80,Horror,1983,9.7,81845,256.88,135.4201687036954
Movie 81,Action,1987,8.7,48336,268.44,120.68178754975781
Movie 82,Comedy,2019,4.9,79237,35.01,58.774035177508736
Movie 83,Action,2009,6.0,83657,134.66,81.47295403053845
Movie 84,Drama,1993,8.0,91294,80.27,99.40181040456667
Movie 85,Action,2006,6.0,86541,211.62,89.3723107452725
Movie 86,Drama,1995,9.6,81286,213.58,129.8931172590521
Movie 87,Action,2023,8.3,10554,62.27,83.1211461703441
Movie 88,Drama,2018,6.0,33825,215.87,84.16091009920393
Movie 89,Drama,2022,7.5,39124,10.24,80.3328769588184
Movie 90,Action,2015,6.8,78237,257.63,102.38207304566654
Movie 91,Horror,2003,4.8,9158,160.99,59.88696295073434
Movie 92,Comedy,2016,6.0,87002,64.56,74.69818727880495
Movie 93,Comedy,2002,7.2,81586,21.7,83.5978615446515
Movie 94,Drama,1986,4.3,52514,267.67,73.50307272484457
Movie 95,Horror,2019,8.7,44365,288.06,121.89798959696375
Movie 96,Action,1990,4.7,41631,88.52,58.84413459216749
Movie 97,Horror,2020,6.4,16977,181.31,80.46491147070665
Movie 98,Comedy,1987,5.8,36823,34.67,64.44764949588304
Movie 99,Horror,2009,5.4,62770,254.08,85.06314169675477
Movie 100,Drama,2008,7.3,23257,97.17,83.11415239632682
Movie 101,Drama,2000,5.9,82476,253.74,92.16362099889497
Movie 102,Action,1995,7.0,15601,50.98,72.68408073103781
Movie 103,Comedy,2023,6.1,85769,105.23,79.81548990130524
Movie 104,Comedy,2019,9.0,29522,255.41,118.17732409610386
Movie 105,Comedy,1981,5.8,5659,232.33,73.35183919294393
Movie 106,Drama,2023,4.7,95596,111.73,65.07211457363165
Movie 107,Comedy,1992,6.9,39776,293.39,102.41720453000151
Movie 108,Action,1994,6.0,3782,162.74,65.70363574779819
Movie 109,Comedy,1995,4.2,63851,25.64,49.03415737441435
Movie 110,Horror,1991,8.4,33110,256.81,113.10501499250435
Movie 111,Horror,2021,4.1,90847,153.65,62.17446654301806
Movie 112,Horror,1988,8.7,95810,53.39,105.12915518525459
Movie 113,Action,2006,6.7,7147,99.7,69.42973877107144
Movie 114,Comedy,2017,8.3,62794,1.7,91.8653350710535
Movie 115,Drama,1992,6.4,85623,12.48,73.93741373865096
Movie 116,Action,2020,7.8,31335,66.38,87.3876784276962
Movie 117,Action,2019,7.6,73283,167.45,101.88094163088462
Movie 118,Drama,1989,4.6,37617,108.42,59.30409451586144
Movie 119,Comedy,2010,6.0,46841,228.95,87.42221309209008
Movie 120,Comedy,1989,7.2,81324,59.01,87.30570300965917
Movie 121,Drama,1992,8.1,71655,160.35,106.59002057825575
Movie 122,Comedy,2002,8.2,96494,212.43,115.3564210746083
Movie 123,Drama,1980,5.5,51062,85.19,68.14348493911847
Movie 124,Action,2020,6.7,35173,189.13,89.04901843038526
Movie 126,Horror,1986,6.9,96060,167.05,95.86689692874214
Movie 127,Horror,1986,6.8,2419,88.15,61.797355170224975
Movie 128,Comedy,2004,5.8,47499,299.98,92.45521294213185
Movie 129,Drama,1993,10.1,46937,120.15,120.65648689522267
Movie 130,Comedy,1990,5.9,54161,188.4,83.14843552370465
Movie 131,Horror,1989,5.4,49547,33.54,61.73176474864009
Movie 132,Comedy,1989,8.2,50365,234.67,112.24898731054952
Movie 133,Drama,2006,7.1,63105,124.44,90.91725503132147
Movie 134,Comedy,2017,7.3,65496,16.4,82.59524521904824
Movie 135,Horror,2003,7.8,95665,223.02,111.75722225178436
Movie 136,Drama,2001,6.7,44675,203.79,92.11718454852681
Movie 137,Action,2015,4.8,14659,151.15,61.16081428211508
Movie 138,Comedy,2015,5.0,68943,89.48,64.65324929927809
Movie 139,Action,1994,8.1,97044,199.5,112.96173354622209
Movie 140,Action,1980,8.1,79201,216.75,113.04103032307232
Movie 141,Horror,1990,7.8,52727,152.6,100.06863484131394
Movie 142,Horror,1991,4.4,7409,70.88,46.294577160476585
Movie 143,Drama,1989,6.8,43333,292.18,101.81951121181324
Movie 144,Horror,2002,4.9,92042,131.05,69.11205457689694
Movie 145,Action,1983,6.6,770,43.69,48.24374326551797
Movie 146,Drama,1997,5.9,60989,84.19,73.42794465221397
Movie 147,Action,2012,4.7,42036,67.01,56.73863567062757
